CONCEPTO,VALOR,PLANTA_O_BU,DEPARTAMENTO,CATEGORIA_GASTO,SUBCATEGORIA_GASTO,TIPO_ASIGNACION,NOTAS
Atencion al Personal P3,7285.08,P003,RECURSOS HUMANOS,9,"Atención al Personal (Comidas, Almuerzo)",DIRECTO,
Licencias de Sistemas P3,11907,P003,PRODUCCION,7,Licencias de Software,DIRECTO,
Papeleria P3,3850.47,P003,PRODUCCION,6,Papelería y Artículos de Oficina,DIRECTO,
Arrendamientos P3,15000,P003,PRODUCCION,4,Renta de Inmuebles,DIRECTO,
Telefonia e Internet P3,2881.39,P003,ADMINISTRACION,3,Telefonía e Internet,DIRECTO,
Agua de Garrafon P3,277,P003,RECURSOS HUMANOS,6,Agua de Garrafón,DIRECTO,
Combustible y Gasolina P3,873.61,P003,PRODUCCION,2,Combustible y Gasolina,DIRECTO,
Gastos no deducibles P3,3116.29,P003,GENERAL,12,Seguros,DIRECTO,
Articulos de Limpieza P3,266.86,P003,LIMPIEZA,6,Artículos de Limpieza,DIRECTO,
3% S/Nom Admon P4,255,P004P,ADMINISTRACION,9,NOMINA - Obligaciones Patronales,DIRECTO,
Imss Admon P4,697.01,P004P,ADMINISTRACION,9,NOMINA - Obligaciones Patronales,DIRECTO,
Atencion al Personal P4,2453.63,P004P,RECURSOS HUMANOS,9,"Atención al Personal (Comidas, Almuerzo)",DIRECTO,
Licencias de Sistemas P4,11907,P004P,PRODUCCION,7,Licencias de Software,DIRECTO,
Soporte de Sistemas P4,91000,P004P,PRODUCCION,5,Soporte de Sistemas,DIRECTO,
Papeleria P4,3492.19,P004P,PRODUCCION,6,Papelería y Artículos de Oficina,DIRECTO,
Viaticos P4,1614.65,P004P,RECURSOS HUMANOS,9,Viáticos,DIRECTO,
Telefonia e Internet P4,1549.06,P004P,ADMINISTRACION,3,Telefonía e Internet,DIRECTO,
Gastos no Deducibles P4,9515.76,P004P,GENERAL,12,Seguros,DIRECTO,
Articulos de limpieza P4,17.24,P004P,LIMPIEZA,6,Artículos de Limpieza,DIRECTO,
Combustible y Gasolina P4,54878.74,P004P,PRODUCCION,2,Combustible y Gasolina,DIRECTO,
Renta de Baños P4,2800,P004P,PRODUCCION,4,Renta de Baños y Otros,DIRECTO,
Imss Admon P5,8621.34,P005,ADMINISTRACION,9,NOMINA - Obligaciones Patronales,DIRECTO,
3% S/nom Admon P5,1294,P005,ADMINISTRACION,9,NOMINA - Obligaciones Patronales,DIRECTO,
Atencion al Personal P5,3098.28,P005,RECURSOS HUMANOS,9,"Atención al Personal (Comidas, Almuerzo)",DIRECTO,
Papeleria P5,7800,P005,PRODUCCION,6,Papelería y Artículos de Oficina,DIRECTO,
Viaticos P5,4950,P005,RECURSOS HUMANOS,9,Viáticos,DIRECTO,
Telefonia e Internet P5,2463.36,P005,PRODUCCION,3,Telefonía e Internet,DIRECTO,
Combustibles y Gasolina P5,8812.12,P005,PRODUCCION,2,Combustible y Gasolina,DIRECTO,
Renta de Baños P5,2800,P005,PRODUCCION,4,Renta de Baños y Otros,DIRECTO,
Gastos No Deducibles P5,1433.66,P005,GENERAL,12,Seguros,DIRECTO,
3% s/nom Vtas P1,1739,P001,COMERCIAL,9,NOMINA - Obligaciones Patronales,DIRECTO,
Publicidad P1,27000,P001,COMERCIAL,10,Publicidad,DIRECTO,
CANCELACION DE GASTOS VIAJE CANCELADO A DALLAS NORMA GAMINO (CITA CONDUCEF),5000,gen,ADMINISTRACION,14,Otros Gastos Varios,DISTRIBUIR_VOLUMEN,
BOMBEO ADRIAN TAPIA (ROGELIO Rmz),4900,P001,PRODUCCION,1,"Servicios de Producción (Bombeo, Grúa)",DIRECTO,
EFECTIVO PARA GASTOS INSTALACION DE PITAHAYA P4,50000,P004P,PRODUCCION,14,Otros Gastos Varios,DIRECTO,
DADIVA DE GUARDIA NACIONAL P1,5000,P001,ADMINISTRACION,13,Impuestos Locales,DIRECTO,
RENTA DE TERRENO LAVADO DE OLLAS P1,4000,P001,PRODUCCION,4,Renta de Terrenos,DIRECTO,
REP DE CJA CHICA P5 MARIO PEREZ,5411,P005,PRODUCCION,14,Otros Gastos Varios,DIRECTO,
DADIVA A OFICILES DEL SLP P4,8000,P004P,ADMINISTRACION,13,Impuestos Locales,DIRECTO,
AMPLIACION DE CAJA CHICA A MARIO PEREZ P5,5000,P005,PRODUCCION,14,Otros Gastos Varios,DIRECTO,
GASOLINA SEMANAL DE EMILIANO MUÑOZ P1,1080,P001,COMERCIAL,2,Combustible y Gasolina,DIRECTO,
CASETAS EXTRAS TRASLADOS DE CAMIONES DE TIJUANA,1400,bj,ADMINISTRACION,2,Casetas Viales,DISTRIBUIR_BU,
ALMUERZO AUTORIZADO PARA P1,806,P001,RECURSOS HUMANOS,9,"Atención al Personal (Comidas, Almuerzo)",DIRECTO,
TRASLADO DE 3 CR DE TIJUANA A P4 SAN LUIS,38100,bj,PRODUCCION,2,Traslado de Equipos,DISTRIBUIR_BU,
CASETAS NO FACTURADA POR FECHA P1,432,P001,ADMINISTRACION,2,Casetas Viales,DIRECTO,
TALACHA P4,300,P004P,ADMINISTRACION,8,Reparaciones y Mantenimiento,DIRECTO,
PAGO REGISTRO PUBLICO DE LA PROPIEDAD LIBERTAD GRAVAMEN DC CONCRETOS (VE POR MAS),500,P004P,ADMINISTRACION,1,"Materiales de Producción (Urea, Concreto, Materiales Pétreos)",DIRECTO,
ALMUERZO AUTORIZADO PARA P1,900,P001,RECURSOS HUMANOS,9,"Atención al Personal (Comidas, Almuerzo)",DIRECTO,
RENTA DE HOSPEDAJE PARA 3 PERSONAS EN LA PITAHAYA P4,4900,P004P,RECURSOS HUMANOS,4,Renta de Inmuebles,DIRECTO,
REP DE CJA DE KAREN SANCHEZ RH P1,1740,P001,RECURSOS HUMANOS,14,Otros Gastos Varios,DIRECTO,
TORNILLOS P1,35.76,P001,MANTENIMIENTO,6,Material de Laboratorio,DIRECTO,
PAGO DE CONTRATISTA LA PITAHAYA P4,20000,P004P,PRODUCCION,14,Otros Gastos Varios,DIRECTO,
PAGO RENTA DE CASA P5,5000,P005,PRODUCCION,4,Renta de Inmuebles,DIRECTO,
REP DE CJA MARIO P5,10276,P005,PRODUCCION,14,Otros Gastos Varios,DIRECTO,
GASOLINA SEMANAL DE EMILIANO MUÑOZ P1,1100,P001,COMERCIAL,2,Combustible y Gasolina,DIRECTO,
COMIDA DE OPERADORES DE BOMBA DE SAN LUIS P4,200,P004P,PRODUCCION,9,"Atención al Personal (Comidas, Almuerzo)",DIRECTO,
TALACHA P1,250,P001,ADMINISTRACION,8,Reparaciones y Mantenimiento,DIRECTO,
"COMIDAS DE AUTORIZADAS ENTRADAS TEMPRANO DOMINGO, MIERCOLES Y JUEVES P1",2857,P001,RECURSOS HUMANOS,9,"Atención al Personal (Comidas, Almuerzo)",DIRECTO,
ALMUERZO DEL DIA 16 ENERO 2026 P1,1439,P001,RECURSOS HUMANOS,9,"Atención al Personal (Comidas, Almuerzo)",DIRECTO,
2 TIKETS DE CASETAS PERIDAS P1,236,P001,ADMINISTRACION,2,Casetas Viales,DIRECTO,
POLARIZADO DE PIPA P1,1150,P001,MANTENIMIENTO,8,Reparaciones y Mantenimiento,DIRECTO,
ALMUERZO AUTORIZADO PARA P1,925,P001,RECURSOS HUMANOS,9,"Atención al Personal (Comidas, Almuerzo)",DIRECTO,
CAMBIO DE LLAVES Y MANTO GRAL P1,800,P001,MANTENIMIENTO,8,Reparaciones y Mantenimiento,DIRECTO,
HOSPEDAJE HECTOR LA PITAHAYA P4,1750,P004P,RECURSOS HUMANOS,14,Otros Gastos Varios,DIRECTO,
PLANO PARA MUNICIPIO DE SAN LUIS P4,3500,P004P,ADMINISTRACION,5,Servicios Legales y Trámites,DIRECTO,
REPOSICION DE CAJA DE MARIO PEREZ SLP P4,11690,P004P,PRODUCCION,14,Otros Gastos Varios,DIRECTO,
BOMBEO IVETTE ROGELIO RDZ  P1,21115,P001,PRODUCCION,1,"Servicios de Producción (Bombeo, Grúa)",DIRECTO,
ESTACIONAMIENTO AERPÚERTO TIGUAN P1,60,P001,ADMINISTRACION,14,Otros Gastos Varios,DIRECTO,
PAPELERIA PLUMAS P1,218,P001,ADMINISTRACION,6,Papelería y Artículos de Oficina,DIRECTO,
TRABAJOS CONTRATISTA MURO P4,15000,P004P,PRODUCCION,14,Otros Gastos Varios,DIRECTO,
PAGO DE LUZ ELECTRICA DE P2,3017,P002,PRODUCCION,14,Otros Gastos Varios,DIRECTO,
BOMBEO ADRIAN TAPIA  VARIOS CLIENTES P1,24660,P001,PRODUCCION,1,"Servicios de Producción (Bombeo, Grúa)",DIRECTO,
GASOLINA SEMANAL DE EMILIANO MUÑOZ P1,4000,P001,COMERCIAL,2,Combustible y Gasolina,DIRECTO,
CASETAS QUERETARO ING ENRIQUE FELIX,500,gen,ADMINISTRACION,2,Casetas Viales,DISTRIBUIR_VOLUMEN,
SOLDADURA TROMPOS P1,1000,P001,MANTENIMIENTO,8,Reparaciones y Mantenimiento,DIRECTO,
DESPIEDRE DEL CR19 P1,1200,P001,MANTENIMIENTO,9,"Atención al Personal (Comidas, Almuerzo)",DIRECTO,
"ALMUERZO DEL 29 ENE, ENTREDA TEMPRANO A P1",1200,P001,RECURSOS HUMANOS,9,"Atención al Personal (Comidas, Almuerzo)",DIRECTO,
RENTA DEPTO ALEX DIAZ,20500,gen,CALIDAD,14,Otros Gastos Varios,DISTRIBUIR_VOLUMEN,
CARNE ASADA DE FIN DE MES CUMPLEAÑOS P1,4000,P001,RECURSOS HUMANOS,9,"Atención al Personal (Comidas, Almuerzo)",DIRECTO,
ARREGLO DE TROMPO P1,200,P001,MANTENIMIENTO,8,Reparaciones y Mantenimiento,DIRECTO,
RENTA DE TERRENO LAVADO DE OLLAS P1 FEBRERO,5000,P001,PRODUCCION,4,Renta de Terrenos,DIRECTO,
REPOSICION DE CJA SANTIAGO DIAZ,2780,gen,GENERAL,14,Otros Gastos Varios,DISTRIBUIR_VOLUMEN,
