CONCEPTO,VALOR,PLANTA_O_BU,DEPARTAMENTO,CATEGORIA_GASTO,SUBCATEGORIA_GASTO,TIPO_ASIGNACION,NOTAS
Electricidad Planta 1,5704.8,1,PRODUCCION,3,Electricidad,DIRECTO,
Casetas viales P1,4668.99,1,PRODUCCION,2,Casetas Viales,DIRECTO,
Uniformes de Trabajo P1,1085.34,1,RECURSOS HUMANOS,9,Uniformes de Trabajo,DIRECTO,
Verificaciones Vehiculares P1,2475,1,PRODUCCION,8,Verificaciones Vehiculares,DIRECTO,
Renta de CR P1,285678,1,PRODUCCION,4,Renta de Maquinaria y Equipo,DIRECTO,
Arrendamiento Leasing P1,8411.2,1,PRODUCCION,4,Renta de Vehículos (Leasing),DIRECTO,
Renta de Maquinaria P2,528808.16,2,PRODUCCION,4,Renta de Maquinaria y Equipo,DIRECTO,
Uniformes de Trabajo P2,20392.59,2,RECURSOS HUMANOS,9,Uniformes de Trabajo,DIRECTO,
Antidopig P2,1449.07,2,RECURSOS HUMANOS,1,Químicos y Aditivos (Antidoping, Desincrustrante, Catalizadores),DIRECTO,
Renta de Terreno P2,65000,2,PRODUCCION,4,Renta de Terrenos,DIRECTO,
Renta de Maquinaria P3,490000,3,PRODUCCION,4,Renta de Maquinaria y Equipo,DIRECTO,
Uniformes de Trabajo P3,703.7,3,RECURSOS HUMANOS,9,Uniformes de Trabajo,DIRECTO,
Manto de Planta P3,231.94,3,MANTENIMIENTO,8,Reparaciones y Mantenimiento,DIRECTO,
Renta de Maquinaria P4,55717.5,4,PRODUCCION,4,Renta de Maquinaria y Equipo,DIRECTO,
Renta de Maquinaria P5,135032.5,5,PRODUCCION,4,Renta de Maquinaria y Equipo,DIRECTO,
Arrendamiento Leasing P5,24974.86,5,PRODUCCION,4,Renta de Vehículos (Leasing),DIRECTO,
Imss Admon P1,22206.84,1,ADMINISTRACION,9,NOMINA - Obligaciones Patronales,DIRECTO,
3% S/nom Admon P1,16986,1,ADMINISTRACION,9,NOMINA - Obligaciones Patronales,DIRECTO,
Dominio Correo P1,4680,gen,ADMINISTRACION,7,Dominios y Hosting,DISTRIBUIR_VOLUMEN,
Comisiones Vales Despensa P1,16329.42,1,RECURSOS HUMANOS,9,NOMINA - Obligaciones Patronales,DIRECTO,
Atencion al Personal P1,24414,1,RECURSOS HUMANOS,9,Atención al Personal (Comidas, Almuerzo),DIRECTO,
Licencias de Sistemas P1,11907,1,PRODUCCION,7,Licencias de Software,DIRECTO,
Soporte de Sistemas P1,52931.04,gen,ADMINISTRACION,5,Soporte de Sistemas,DISTRIBUIR_VOLUMEN,
Papeleria P1,2639.76,1,ADMINISTRACION,6,Papelería y Artículos de Oficina,DIRECTO,
Viaticos P1,603.28,1,RECURSOS HUMANOS,9,Viáticos,DIRECTO,
Telefonia e Internet P1,14224.96,bj,ADMINISTRACION,3,Telefonía e Internet,DISTRIBUIR_BU,
Honorarios P1,52777.35,gen,ADMINISTRACION,5,Honorarios y Asesorías,DISTRIBUIR_VOLUMEN,
Paqueteria y Envios P1,319.97,1,ADMINISTRACION,14,Paquetería y Envíos,DIRECTO,
Agua de Garrafon P1,1196,bj,RECURSOS HUMANOS,6,Agua de Garrafón,DISTRIBUIR_BU,
Impuestos y Derechos P1,1597,bj,ADMINISTRACION,13,Derechos,DISTRIBUIR_BU,
Articulos de Limpieza P1,1445.69,1,LIMPIEZA,6,Artículos de Limpieza,DIRECTO,
Gastos No deducibles P1,67557.12,1,GENERAL,12,Seguros,DIRECTO,
Combustibles y Gasolina P1,2769.69,bj,PRODUCCION,2,Combustible y Gasolina,DISTRIBUIR_BU,
Seguros y Fianzas P1,1941.41,1,GENERAL,12,Seguros,DIRECTO,
Articulos de Oficina P1,1567.25,bj,ADMINISTRACION,6,Papelería y Artículos de Oficina,DISTRIBUIR_BU,
Renta de Equipo de Impresion P1,6000,1,ADMINISTRACION,4,Renta de Maquinaria y Equipo,DIRECTO,
Imss Admon P2,12083.44,2,ADMINISTRACION,9,NOMINA - Obligaciones Patronales,DIRECTO,
Atencion al Personal P2,29775.41,2,RECURSOS HUMANOS,9,Atención al Personal (Comidas, Almuerzo),DIRECTO,
Licencias de Sistemas P2,11907,tj,PRODUCCION,7,Licencias de Software,DISTRIBUIR_BU,
Papeleria P2,4513.52,tj,ADMINISTRACION,6,Papelería y Artículos de Oficina,DISTRIBUIR_BU,
Viaticos P2,82499.59,tj,RECURSOS HUMANOS,9,Viáticos,DISTRIBUIR_BU,
Arrendamientos P2,24923.59,tj,ADMINISTRACION,4,Renta de Inmuebles,DISTRIBUIR_BU,
Telefonia e Internet P2,3990.12,tj,ADMINISTRACION,3,Telefonía e Internet,DISTRIBUIR_BU,
Paqueteria y Envios P2,7568.54,tj,ADMINISTRACION,14,Paquetería y Envíos,DISTRIBUIR_BU,
Agua de Garrafon P2,284,tj,RECURSOS HUMANOS,6,Agua de Garrafón,DISTRIBUIR_BU,
Gastos no Deducibles P2,43961.05,tj,GENERAL,12,Seguros,DISTRIBUIR_BU,
Articulos de limpieza P2,455.55,tj,LIMPIEZA,6,Artículos de Limpieza,DISTRIBUIR_BU,
Combustible y Gasolina P2,55212.39,tj,PRODUCCION,2,Combustible y Gasolina,DISTRIBUIR_BU,
Tarifa Uber P2,488.31,tj,ADMINISTRACION,2,Transporte Ejecutivo (Uber, Taxis),DISTRIBUIR_BU,
Recargos P2,17.53,tj,GENERAL,11,Recargos,DISTRIBUIR_BU,
Imss Admon P3,15224.06,gen,GENERAL,9,NOMINA - Obligaciones Patronales,DISTRIBUIR_VOLUMEN,
Atencion al Personal P3,4482.42,3,RECURSOS HUMANOS,9,Atención al Personal (Comidas, Almuerzo),DIRECTO,
Licencias de Sistemas P3,11907,3,PRODUCCION,7,Licencias de Software,DIRECTO,
Papeleria P3,1249.07,3,ADMINISTRACION,6,Papelería y Artículos de Oficina,DIRECTO,
Viaticos P3,27639.55,3,RECURSOS HUMANOS,9,Viáticos,DIRECTO,
Arrendamientos P3,15000,3,PRODUCCION,4,Renta de Inmuebles,DIRECTO,
Telefonia e Internet P3,3244.82,3,ADMINISTRACION,3,Telefonía e Internet,DIRECTO,
Agua de Garrafon P3,827,3,RECURSOS HUMANOS,6,Agua de Garrafón,DIRECTO,
Combustible y Gasolina P3,1154.46,3,PRODUCCION,2,Combustible y Gasolina,DIRECTO,
Gastos no deducibles P3,70,3,GENERAL,12,Seguros,DIRECTO,
Articulos de Limpieza P3,346.3,3,LIMPIEZA,6,Artículos de Limpieza,DIRECTO,
Imss Admon P4,2956.94,4,ADMINISTRACION,9,NOMINA - Obligaciones Patronales,DIRECTO,
Comisiones Admon P4,8839.62,4,ADMINISTRACION,9,NOMINA - Obligaciones Patronales,DIRECTO,
Atencion al Personal P4,4298.96,4,RECURSOS HUMANOS,9,Atención al Personal (Comidas, Almuerzo),DIRECTO,
Licencias de Sistemas P4,11907,4,PRODUCCION,7,Licencias de Software,DIRECTO,
Viaticos P4,22411.86,4,RECURSOS HUMANOS,9,Viáticos,DIRECTO,
Arrendamientos P4,35151,4,PRODUCCION,4,Renta de Inmuebles,DIRECTO,
Telefonia e Internet P4,3236.2,4,ADMINISTRACION,3,Telefonía e Internet,DIRECTO,
Gastos no Deducibles P4,2007.37,4,GENERAL,12,Seguros,DIRECTO,
Imss Admon P5,5513.21,5,ADMINISTRACION,9,NOMINA - Obligaciones Patronales,DIRECTO,
3% S/nom Admon P5,784,5,ADMINISTRACION,9,NOMINA - Obligaciones Patronales,DIRECTO,
Atencion al Personal P5,4064.04,5,RECURSOS HUMANOS,9,Atención al Personal (Comidas, Almuerzo),DIRECTO,
Viaticos P5,3023.28,5,RECURSOS HUMANOS,9,Viáticos,DIRECTO,
Combustibles y Gasolina P5,7046.09,5,PRODUCCION,2,Combustible y Gasolina,DIRECTO,
Renta de Baños P5,2800,5,PRODUCCION,4,Renta de Baños y Otros,DIRECTO,
Gastos No Deducibles P5,34402.06,5,GENERAL,12,Seguros,DIRECTO,
3% s/nom Vtas P1,1534,1,COMERCIAL,9,NOMINA - Obligaciones Patronales,DIRECTO,
Publicidad P1,18300,gen,COMERCIAL,10,Publicidad,DISTRIBUIR_VOLUMEN,
COMIDA PLANTA 02/04 SEMANA 45,13300,tj,RECURSOS HUMANOS,9,Atención al Personal (Comidas, Almuerzo),DISTRIBUIR_BU,
COMIDA PLANTA 02/04 SEMANA 46,13300,tj,RECURSOS HUMANOS,9,Atención al Personal (Comidas, Almuerzo),DISTRIBUIR_BU,
COMIDA PLANTA 02/04 SEMANA 47,11200,tj,RECURSOS HUMANOS,9,Atención al Personal (Comidas, Almuerzo),DISTRIBUIR_BU,
COMIDA PLANTA 05 SEMANA 46,14000,5,RECURSOS HUMANOS,9,Atención al Personal (Comidas, Almuerzo),DIRECTO,
COMIDA PLANTA 05 SEMANA 48,7000,5,RECURSOS HUMANOS,9,Atención al Personal (Comidas, Almuerzo),DIRECTO,
COMIDA ENTRADA 4 AM P1,1100,1,RECURSOS HUMANOS,9,Atención al Personal (Comidas, Almuerzo),DIRECTO,
GASOLINA EMILIANO P1,1200,1,COMERCIAL,2,Combustible y Gasolina,DIRECTO,
VERIFICACION VEHICULAR P1,281,1,ADMINISTRACION,8,Verificaciones Vehiculares,DIRECTO,
DEDUCIBLE TIGUAN P1,2390,gen,GENERAL,12,Seguros,DISTRIBUIR_VOLUMEN,
AGUA 36 VIAJES A 160 POZO NAPOLES P1,5440,1,PRODUCCION,3,Agua,DIRECTO,
TALACHA RESCATE,1400,1,PRODUCCION,8,Reparaciones y Mantenimiento,DIRECTO,
RENTA DE TERRENO PARA LAVADO DE OLLAS P1,4000,1,PRODUCCION,4,Renta de Terrenos,DIRECTO,
MULTA VIAL TIJUANA,1500,tj,PRODUCCION,13,Impuestos Locales,DISTRIBUIR_BU,
DADIVA GUARDIA NACIONAL NOV P1,5000,1,GENERAL,14,Otros Gastos Varios,DIRECTO,
DADIVA NOV SEDENA P2,4000,tj,GENERAL,14,Otros Gastos Varios,DISTRIBUIR_BU,
TALACHA RESCATE CR 28 P1,250,1,PRODUCCION,8,Reparaciones y Mantenimiento,DIRECTO,
GASOLINA EMILIANO P1,1146.15,1,COMERCIAL,2,Combustible y Gasolina,DIRECTO,
BOMBEO ADRIAN TAPIA,14225,1,PRODUCCION,1,Servicios de Producción (Bombeo, Grúa),DIRECTO,
PAGO DE 41 VIAJES DE AGUA POZO JUAREZ P1,6560,1,PRODUCCION,3,Agua,DIRECTO,
PAGO DE CASETAS CONTA NUÑEZ,200,gen,GENERAL,2,Casetas Viales,DISTRIBUIR_VOLUMEN,
MULTA IRAPUATO CR-28,500,1,PRODUCCION,13,Impuestos Locales,DIRECTO,
GASOLINA EMILIANO P1,1048.24,1,COMERCIAL,2,Combustible y Gasolina,DIRECTO,
MORDIDA EMILIANO,450,1,COMERCIAL,13,Impuestos Locales,DIRECTO,
REP DE GASTOS RH TIJUANA BRISA,7330.52,tj,RECURSOS HUMANOS,14,Otros Gastos Varios,DISTRIBUIR_BU,
RENTA DE CAMPAMENTO EL MIRADOR,27000,3,PRODUCCION,4,Renta de Inmuebles,DIRECTO,
DADIVA A TRANSITO MUNICIPAL SILAO ACCIDENTE CR26,2000,1,PRODUCCION,14,Otros Gastos Varios,DIRECTO,
DEVOLUCION RENTA DE CAMPAMENTO EL MIRADOR,-27000,3,PRODUCCION,4,Renta de Inmuebles,DIRECTO,
COMIDA ENTRADA 4 AM P1,1000,1,RECURSOS HUMANOS,9,Atención al Personal (Comidas, Almuerzo),DIRECTO,
DADIVA A CHICO DE LA GRUA QUE TRANSLADO CR26,500,1,PRODUCCION,1,Servicios de Producción (Bombeo, Grúa),DIRECTO,
ADORNOS NAVIDEÑOS CONTABILIDAD,175,gen,RECURSOS HUMANOS,9,Atención al Personal (Comidas, Almuerzo),DISTRIBUIR_VOLUMEN,
GASOLINA EMILIANO P1,1100,1,COMERCIAL,2,Combustible y Gasolina,DIRECTO,
COMIDA PLANTA 05 SEMANA 48,7000,5,RECURSOS HUMANOS,9,Atención al Personal (Comidas, Almuerzo),DIRECTO,
COMIDA PLANTA 02/04 SEMANA 48,12600,tj,RECURSOS HUMANOS,9,Atención al Personal (Comidas, Almuerzo),DISTRIBUIR_BU,
Renta cuarto hector morales,3800,5,PRODUCCION,4,Renta de Inmuebles,DIRECTO,
renta departamento alejandro diaz,20500,gen,CALIDAD,4,Renta de Inmuebles,DISTRIBUIR_VOLUMEN,
VIATICOS AUTORIZADOS LIC ANTONIO AGUILAR,15000,gen,ADMINISTRACION,9,Viáticos,DISTRIBUIR_VOLUMEN,
trasalado de camiones,60000,gen,PRODUCCION,2,Traslado de Equipos,DISTRIBUIR_VOLUMEN,
MEDICAMENTOS PARA BOTIQUIN P1,120,1,RECURSOS HUMANOS,6,Material de Laboratorio,DIRECTO,
ALMUERZO P1 29/11/2025 AUTORIZO HECTOR,1300,1,RECURSOS HUMANOS,9,Atención al Personal (Comidas, Almuerzo),DIRECTO,
