CONCEPTO,VALOR,PLANTA_O_BU,DEPARTAMENTO,CATEGORIA_GASTO,SUBCATEGORIA_GASTO,TIPO_ASIGNACION,NOTAS
RENTA PLANTA 4 LA PITAHAYA,15000,P004P,PRODUCCION,4,Renta de Terrenos,DIRECTO,
COMPRA DE ALMUERZO TORTAS PARA P1,1300,P001,RECURSOS HUMANOS,9,"Atención al Personal (Comidas, Almuerzo)",DIRECTO,
PAGO DE BOMBEO A ADRIAN TAPIA P1,22380,P001,PRODUCCION,1,"Servicios de Producción (Bombeo, Grúa)",DIRECTO,
"TRABAJOS PAILERIA A CAMIONES CR 20,26, Y 28",5250,P001,MANTENIMIENTO,8,Reparaciones y Mantenimiento,DIRECTO,
TOPOGRAFO NIVELES Y VERTICES TERRENO P5,7500,P005,PRODUCCION,5,Servicios Legales y Trámites,DIRECTO,
10 VIAJES DE AGUA P4,4000,P004P,PRODUCCION,3,Agua,DIRECTO,
REPOSICION DE CAJA MARIO PEREZ GONZALEZ P4,9844.5,P004P,PRODUCCION,14,Otros Gastos Varios,DIRECTO,
61 VIAJES DE AGUA POZO NAPOLES P1,9760,P001,PRODUCCION,3,Agua,DIRECTO,
VIATICOS A AGUASCALIENTES ABELARDO P4,500,P004P,RECURSOS HUMANOS,9,Viáticos,DIRECTO,
1ER RENTA DE CAMPAMENTO VILLA DE REYES P4,7500,P004P,PRODUCCION,4,Renta de Inmuebles,DIRECTO,
SERVICIO DE MOTOR CR19 Y 15 LUIS ARMANDO AVILA HDEZ,5300,P001,MANTENIMIENTO,8,Reparaciones y Mantenimiento,DIRECTO,
LAVADO Y DETALLADO DE CAMIONES,1700,P001,MANTENIMIENTO,8,Reparaciones y Mantenimiento,DIRECTO,
REPOSICION DE GASTOS ING SALVADOR GRAJEDA P5,749,P005,PRODUCCION,14,Otros Gastos Varios,DIRECTO,
REPOSICION DE GASTOS HECTOR NO FISCALES,2858,gen,GENERAL,14,Otros Gastos Varios,DISTRIBUIR_VOLUMEN,
REPOSICION DE CAJA MARIO PEREZ GONZALEZ P5,9404,P005,PRODUCCION,14,Otros Gastos Varios,DIRECTO,
"COMIDA AUTORIZADA HECTOR MORALES ,SALIDA TARDE P1",1000,P001,RECURSOS HUMANOS,9,"Atención al Personal (Comidas, Almuerzo)",DIRECTO,
DEPOSITO SOBRANTE EN COMPROBANTE DE CASETAS BAJADA CRS P4,808,P004P,ADMINISTRACION,2,Casetas Viales,DIRECTO,
RENTA CAMPAMENTO P4,5000,P004P,PRODUCCION,4,Renta de Inmuebles,DIRECTO,
DADIVA A GUARDIA NACIONAL SLP P4,1000,P004P,ADMINISTRACION,13,Impuestos Locales,DIRECTO,
REP DE CJA BRISA RH TJ,5428.96,tj,RECURSOS HUMANOS,14,Otros Gastos Varios,DISTRIBUIR_BU,
RENTA DEPTO ALEX DIAZ P1,20500,P001,CALIDAD,14,Otros Gastos Varios,DIRECTO,
