CONCEPTO,VALOR,PLANTA_O_BU,DEPARTAMENTO,CATEGORIA_GASTO,SUBCATEGORIA_GASTO,TIPO_ASIGNACION,NOTAS
Infonavit CCR P2,26252.46,P002,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,
3% S/Nom CCR P2,11158.51,P002,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,
3% S/Nom CC P2,14732.54,P002,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,
Imss CC P2,26546.27,P002,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,
Rcv CC P2,36203.75,P002,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,
Infonavit CC P2,21493.53,P002,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,
Urea Costo Vtas P3,298,P003,PRODUCCION,1,"Materiales de Producción (Urea, Concreto, Materiales Pétreos)",DIRECTO,
Imss CCR P3,13265.37,P003,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,
Rcv CCR P3,19670.9,P003,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,
Infonavit CCR P3,11678.28,P003,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,
3% S/Nom CCR P3,5015,P003,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,
3% S/Nom CC P3,7838.15,P003,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,
Imss CC P3,1979.29,P003,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,
Rcv CC P3,5919.92,P003,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,
Infonavit CC P3,3514.55,P003,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,
Electricidad Planta 1,9452.22,P001,PRODUCCION,3,Electricidad,DIRECTO,
Casetas viales P1,11539.68,P001,PRODUCCION,2,Casetas Viales,DIRECTO,
Uniformes de Trabajo P1,8576.09,P001,PRODUCCION,9,Uniformes de Trabajo,DIRECTO,
Renta de CR P1,285678,P001,PRODUCCION,4,Renta de Maquinaria y Equipo,DIRECTO,
Concreto Premezclado P1,9931.04,P001,PRODUCCION,1,"Materiales de Producción (Urea, Concreto, Materiales Pétreos)",DIRECTO,
Arrendamiento Leasing P1,8411.2,P001,PRODUCCION,4,Renta de Vehículos (Leasing),DIRECTO,
Renta de Maquinaria P2,886778.16,P002,PRODUCCION,4,Renta de Maquinaria y Equipo,DIRECTO,
Uniformes de Trabajo P2,289.64,P002,PRODUCCION,9,Uniformes de Trabajo,DIRECTO,
Antidopig P2,637.96,P002,RECURSOS HUMANOS,1,"Químicos y Aditivos (Antidoping, Desincrustrante, Catalizadores)",DIRECTO,
Renta de Maquinaria P3,1245000,P003,PRODUCCION,4,Renta de Maquinaria y Equipo,DIRECTO,
Servicio de Bombeo P3,26302.5,P003,PRODUCCION,1,"Servicios de Producción (Bombeo, Grúa)",DIRECTO,
Renta de Maquinaria P4,260000,P004,PRODUCCION,4,Renta de Maquinaria y Equipo,DIRECTO,
Manto de Maquinaria P4,800,P004,PRODUCCION,8,Reparaciones y Mantenimiento,DIRECTO,
Renta de Maquinaria P5,69913.79,P005,PRODUCCION,4,Renta de Maquinaria y Equipo,DIRECTO,
Casetas viales P5,6394.9,P005,PRODUCCION,2,Casetas Viales,DIRECTO,
Servicio de bombeo P5,4500,P005,PRODUCCION,1,"Servicios de Producción (Bombeo, Grúa)",DIRECTO,
Arrendamiento Leasing P5,24974.86,P005,PRODUCCION,4,Renta de Vehículos (Leasing),DIRECTO,
Imss Admon P1,22947.06,P001,ADMINISTRACION,9,NOMINA - Obligaciones Patronales,DIRECTO,
Rcv Admon P1,43711.61,P001,ADMINISTRACION,9,NOMINA - Obligaciones Patronales,DIRECTO,
Infonavit Admon P1,26338.47,P001,ADMINISTRACION,9,NOMINA - Obligaciones Patronales,DIRECTO,
3% S/nom Admon P1,33769,P001,ADMINISTRACION,9,NOMINA - Obligaciones Patronales,DIRECTO,
Dominio Correo P1,4680,gen,GENERAL,7,Dominios y Hosting,DISTRIBUIR_VOLUMEN,
Comisiones Vales Despensa P1,11506.81,P001,RECURSOS HUMANOS,9,NOMINA - Obligaciones Patronales,DIRECTO,
Atencion al Personal P1,36761.93,P001,RECURSOS HUMANOS,9,"Atención al Personal (Comidas, Almuerzo)",DIRECTO,
Licencias de Sistemas P1,11907,P001,PRODUCCION,7,Licencias de Software,DIRECTO,
Soporte de Sistemas P1,40000,gen,GENERAL,5,Soporte de Sistemas,DISTRIBUIR_VOLUMEN,
Papeleria P1,4801.25,P001,ADMINISTRACION,6,Papelería y Artículos de Oficina,DIRECTO,
Telefonia e Internet P1,14649.94,P001,ADMINISTRACION,3,Telefonía e Internet,DIRECTO,
Honorarios P1,29387.74,P001,ADMINISTRACION,5,Honorarios y Asesorías,DIRECTO,
Paqueteria y Envios P1,5756.05,P001,ADMINISTRACION,14,Paquetería y Envíos,DIRECTO,
Agua de Garrafon P1,1144,P001,RECURSOS HUMANOS,6,Agua de Garrafón,DIRECTO,
Impuestos y Derechos P1,111,P001,ADMINISTRACION,13,Derechos,DIRECTO,
Articulos de Limpieza P1,1888.9,P001,LIMPIEZA,6,Artículos de Limpieza,DIRECTO,
Gastos No deducibles P1,136907.97,P001,ADMINISTRACION,12,Seguros,DIRECTO,
Combustibles y Gasolina P1,4134.98,P001,GENERAL,2,Combustible y Gasolina,DIRECTO,
Seguros y Fianzas P1,75005.42,P001,ADMINISTRACION,12,Seguros,DIRECTO,
Atencion al Cliente P1,12543.1,P001,COMERCIAL,10,Atención al Cliente,DIRECTO,
Articulos de Oficina P1,1068.97,P001,ADMINISTRACION,6,Papelería y Artículos de Oficina,DIRECTO,
Renta de Equipo de Impresion P1,6000,P001,PRODUCCION,4,Renta de Maquinaria y Equipo,DIRECTO,
3% S/Nom Admon P2,65944.92,P002,ADMINISTRACION,9,NOMINA - Obligaciones Patronales,DIRECTO,
Imss Admon P2,15541.73,P002,ADMINISTRACION,9,NOMINA - Obligaciones Patronales,DIRECTO,
Rcv Admon P2,26159.22,P002,ADMINISTRACION,9,NOMINA - Obligaciones Patronales,DIRECTO,
Infonavit Admon P2,15530.3,P002,ADMINISTRACION,9,NOMINA - Obligaciones Patronales,DIRECTO,
Atencion al Personal P2,35510.64,P002,ADMINISTRACION,9,"Atención al Personal (Comidas, Almuerzo)",DIRECTO,
Licencias de Sistemas P2,11907,P002,PRODUCCION,7,Licencias de Software,DIRECTO,
Papeleria P2,5321.39,P002,ADMINISTRACION,6,Papelería y Artículos de Oficina,DIRECTO,
Viaticos P2,63809.88,P002,PRODUCCION,9,Viáticos,DIRECTO,
Arrendamientos P2,74013.04,P002,PRODUCCION,4,Renta de Inmuebles,DIRECTO,
Telefonia e Internet P2,2920.68,P002,ADMINISTRACION,3,Telefonía e Internet,DIRECTO,
Agua de Garrafon P2,843,P002,RECURSOS HUMANOS,6,Agua de Garrafón,DIRECTO,
Gastos no Deducibles P2,50523.13,P002,ADMINISTRACION,12,Seguros,DIRECTO,
Combustible y Gasolina P2,41710.51,P002,PRODUCCION,2,Combustible y Gasolina,DIRECTO,
Tarifa Uber P2,323.05,P002,ADMINISTRACION,2,"Transporte Ejecutivo (Uber, Taxis)",DIRECTO,
3% S/Nom Admon P3,83035.62,P003,ADMINISTRACION,9,NOMINA - Obligaciones Patronales,DIRECTO,
Imss Admon P3,15731.53,P003,ADMINISTRACION,9,NOMINA - Obligaciones Patronales,DIRECTO,
Rcv Admon P3,26283.67,P003,ADMINISTRACION,9,NOMINA - Obligaciones Patronales,DIRECTO,
Infonavit Admon P3,15712.41,P003,ADMINISTRACION,9,NOMINA - Obligaciones Patronales,DIRECTO,
Atencion al Personal P3,14066.8,P003,RECURSOS HUMANOS,9,"Atención al Personal (Comidas, Almuerzo)",DIRECTO,
Licencias de Sistemas P3,11907,P003,PRODUCCION,7,Licencias de Software,DIRECTO,
Viaticos P3,34726.27,P003,PRODUCCION,9,Viáticos,DIRECTO,
Arrendamientos P3,15000,P003,PRODUCCION,4,Renta de Inmuebles,DIRECTO,
Telefonia e Internet P3,2619.82,P003,ADMINISTRACION,3,Telefonía e Internet,DIRECTO,
Combustible y Gasolina P3,218.85,P003,PRODUCCION,2,Combustible y Gasolina,DIRECTO,
Gastos no deducibles P3,5789.54,P003,ADMINISTRACION,12,Seguros,DIRECTO,
Articulos de Limpieza P3,180.55,P003,LIMPIEZA,6,Artículos de Limpieza,DIRECTO,
3% S/Nom Admon P4,15105.47,P004,ADMINISTRACION,9,NOMINA - Obligaciones Patronales,DIRECTO,
Licencias de Sistemas P4,11907,P004,PRODUCCION,7,Licencias de Software,DIRECTO,
Gastos no Deducibles P4,2007.37,P004,ADMINISTRACION,12,Seguros,DIRECTO,
Imss Admon P5,7365.27,P005,ADMINISTRACION,9,NOMINA - Obligaciones Patronales,DIRECTO,
Rcv Admon P5,11848.69,P005,ADMINISTRACION,9,NOMINA - Obligaciones Patronales,DIRECTO,
Infonavit Admon P5,7212.52,P005,ADMINISTRACION,9,NOMINA - Obligaciones Patronales,DIRECTO,
3% S/nom Admon P5,2698,P005,ADMINISTRACION,9,NOMINA - Obligaciones Patronales,DIRECTO,
Atencion al Personal P5,5250.16,P005,RECURSOS HUMANOS,9,"Atención al Personal (Comidas, Almuerzo)",DIRECTO,
Viaticos P5,3234.49,P005,PRODUCCION,9,Viáticos,DIRECTO,
Telefonia e Internet P5,2275.86,P005,ADMINISTRACION,3,Telefonía e Internet,DIRECTO,
Combustibles y Gasolina P5,12073.36,P005,PRODUCCION,2,Combustible y Gasolina,DIRECTO,
Renta de Baños P5,2800,P005,PRODUCCION,4,Renta de Baños y Otros,DIRECTO,
Gastos No Deducibles P5,7581.97,P005,ADMINISTRACION,12,Seguros,DIRECTO,
3% s/nom Vtas P1,1406,P001,COMERCIAL,9,NOMINA - Obligaciones Patronales,DIRECTO,
Publicidad P1,14127,P001,COMERCIAL,10,Publicidad,DIRECTO,
RENTA TERRENO LAVADO DE OLLAS P1,4000,P001,PRODUCCION,4,Renta de Terrenos,DIRECTO,
TORNILLOS P1,33.23,P001,MANTENIMIENTO,6,Material de Laboratorio,DIRECTO,
REP DE CJA DE MARIO PEREZ P5,4580,P005,PRODUCCION,14,Otros Gastos Varios,DIRECTO,
PRESENTE CUMPLE KAREN RODAS TIJUANA,805,gen,RECURSOS HUMANOS,9,"Atención al Personal (Comidas, Almuerzo)",DISTRIBUIR_VOLUMEN,
DADIVA A GUARDIA NACIONAL NOV P1,5000,bj,PRODUCCION,13,Impuestos Locales,DISTRIBUIR_BU,
BOMBEO MOL  (ADRIAN T) P1,3500,P001,PRODUCCION,1,"Servicios de Producción (Bombeo, Grúa)",DIRECTO,
DIESEL TRASLADO DE CRS TIJUANA,5000,bj,PRODUCCION,2,Combustible y Gasolina,DISTRIBUIR_BU,
DIESEL TRASLADO DE CRS TIJUANA,5000,bj,PRODUCCION,2,Combustible y Gasolina,DISTRIBUIR_BU,
GASOLINA EMILIANO VTAS P1,1531.97,P001,COMERCIAL,2,Combustible y Gasolina,DIRECTO,
ARENA LAVADA DE P5,21600,P005,PRODUCCION,1,"Materiales de Producción (Urea, Concreto, Materiales Pétreos)",DIRECTO,
PAGO ELECTRICIDAD P2,2236,P002,PRODUCCION,3,Electricidad,DIRECTO,
DIESEL TRASLADO DE CRS TIJUANA,5000,bj,PRODUCCION,2,Combustible y Gasolina,DISTRIBUIR_BU,
DIESEL TRASLADO DE CRS TIJUANA,5000,bj,PRODUCCION,2,Combustible y Gasolina,DISTRIBUIR_BU,
DADIVA A FUNCIONARIOS DEL MUNICIPIO DE SILAO,1500,P001,PRODUCCION,13,Impuestos Locales,DIRECTO,
GASOLINA EMILIANO VTAS P1,1200,P001,COMERCIAL,2,Combustible y Gasolina,DIRECTO,
GASTOS POSADA TIJUANA,34000,tj,RECURSOS HUMANOS,14,Otros Gastos Varios,DISTRIBUIR_BU,
TRASLADO DE RETRO-LANTANA,5000,P001,PRODUCCION,2,Traslado de Equipos,DIRECTO,
GASTOS LEGALES LIC LANTANA,5000,P001,ADMINISTRACION,5,Honorarios y Asesorías,DIRECTO,
42 VIAJES DE AGUA POZO NAPOLES P1,6720,P001,PRODUCCION,3,Agua,DIRECTO,
TALACHA P1,350,P001,PRODUCCION,8,Reparaciones y Mantenimiento,DIRECTO,
REPOSICION DE CJA KAREN RH P1,2935,P001,RECURSOS HUMANOS,14,Otros Gastos Varios,DIRECTO,
REP CAJA DE BRISA RH TIJUANA,19423.75,tj,RECURSOS HUMANOS,14,Otros Gastos Varios,DISTRIBUIR_BU,
CANCELACION DE GASTOS VIAJE CANCELADO A DALLAS NORMA GAMINO (CITA CONDUCEF),5000,P001,ADMINISTRACION,14,Otros Gastos Varios,DIRECTO,
MANTO PIPA P1,50,P001,MANTENIMIENTO,8,Reparaciones y Mantenimiento,DIRECTO,
"BOMBEO MOL, LUIS VELAZQUEZ  (ADRIAN T) P1",14300,P001,PRODUCCION,1,"Servicios de Producción (Bombeo, Grúa)",DIRECTO,
41 VIAJES DE AGUA A 160 POZO JUAREZ,6560,P001,PRODUCCION,3,Agua,DIRECTO,
DEPOSITO DE EFECTIVO PAGO FISCAL DE CASO LABORAL PASCUAL CAUDILLO (LIC Roberto Zuñiga),17400,gen,ADMINISTRACION,13,Derechos,DISTRIBUIR_VOLUMEN,
BORDADOS DE PRESENTES DE FIN DE AÑO A CLIENTES P1,1200,P001,COMERCIAL,9,"Atención al Personal (Comidas, Almuerzo)",DIRECTO,
FINIQUITO DE ARTICULOS DE PUBLICIDAD APART P1,11015,P001,COMERCIAL,10,Publicidad,DIRECTO,
BOMBA ESTACIONARIA  LUIS RMZ VELAZQUEZ Y LEON VELAZQUEZ,16520,P001,PRODUCCION,1,"Servicios de Producción (Bombeo, Grúa)",DIRECTO,
REP CJA KAREN RH,1318,P001,RECURSOS HUMANOS,14,Otros Gastos Varios,DIRECTO,
ARENA LAVADA DE P5,17200,P005,PRODUCCION,1,"Materiales de Producción (Urea, Concreto, Materiales Pétreos)",DIRECTO,
REP CAJA DE MARIO PEREZ P5,7788,P005,PRODUCCION,14,Otros Gastos Varios,DIRECTO,
COMPLEMENTO DE GASTOS FIESTA DE FIN DE AÑO,15841.41,gen,RECURSOS HUMANOS,9,"Atención al Personal (Comidas, Almuerzo)",DISTRIBUIR_VOLUMEN,
VIATICO A SAN LUIS P5 HECTOR MORALES,1000,bj,PRODUCCION,9,Viáticos,DISTRIBUIR_BU,
3 LITROS DE DESENGRASANTE P1,150,P001,MANTENIMIENTO,1,"Químicos y Aditivos (Antidoping, Desincrustrante, Catalizadores)",DIRECTO,
DESENGRASANTE P1,75,P001,MANTENIMIENTO,1,"Químicos y Aditivos (Antidoping, Desincrustrante, Catalizadores)",DIRECTO,
TALACHA P1,1000,P001,PRODUCCION,8,Reparaciones y Mantenimiento,DIRECTO,
COMIDA AUTORIZADA P1 HECTOR MORALES,1300,P001,PRODUCCION,9,"Atención al Personal (Comidas, Almuerzo)",DIRECTO,
PAGO DE TUBERIA DE P2 TJ,3000,P002,PRODUCCION,2,"Transporte Ejecutivo (Uber, Taxis)",DIRECTO,
COMPRA DE ADITIVOS DE CHINA ALEX DIAZ,5713.24,gen,CALIDAD,1,"Materiales de Producción (Urea, Concreto, Materiales Pétreos)",DISTRIBUIR_VOLUMEN,
GASOLINA 2 SEMANAS EMILIANO VTAS P1,2400,P001,COMERCIAL,2,Combustible y Gasolina,DIRECTO,
COMIDA CONTA RAFA,370,gen,GENERAL,9,"Atención al Personal (Comidas, Almuerzo)",DISTRIBUIR_VOLUMEN,
REP DE CJA KAREN RH P1,1335,P001,RECURSOS HUMANOS,14,Otros Gastos Varios,DIRECTO,
REPOSICION DE CJA DE ENRIQUE FELIX,5925.85,P001,ADMINISTRACION,14,Otros Gastos Varios,DIRECTO,
TALACHA P1,180,P001,ADMINISTRACION,8,Reparaciones y Mantenimiento,DIRECTO,
REP CJA KAREN RH,102,P001,RECURSOS HUMANOS,14,Otros Gastos Varios,DIRECTO,
RENTA DE DEPTO ALEX DIAZ Y RENTA DE CUARTO HECTOR MORALES,24300,gen,GENERAL,4,Renta de Inmuebles,DISTRIBUIR_VOLUMEN,
REP CJA DE BRISA RANGEL RH TJ,6026.24,tj,RECURSOS HUMANOS,14,Otros Gastos Varios,DISTRIBUIR_BU,
MULTA DE PIPA POR PLACA,300,P001,PRODUCCION,13,Impuestos Locales,DIRECTO,
RESCATE DE 2 LLANTA  CR28 PUNTA DEL ESTE,2000,P001,PRODUCCION,8,Reparaciones y Mantenimiento,DIRECTO,
RENTA DE TERRENO P4 LA PITAHAYA,15000,P004P,PRODUCCION,4,Renta de Terrenos,DIRECTO,
