CONCEPTO,VALOR,PLANTA,DEPARTAMENTO
Articulos de Limpieza P1,1888.9,P001,LIMPIEZA
Gastos No deducibles P1,136907.97,P001,ADMINISTRACION
Combustibles y Gasolina P1,4134.98,P001,GENERAL
Seguros y Fianzas P1,75005.42,P001,ADMINISTRACION
Atencion al Cliente P1,12543.1,P001,COMERCIAL
Articulos de Oficina P1,1068.97,P001,ADMINISTRACION
Renta de Equipo de Impresion P1,6000,P001,PRODUCCION
3% S/Nom Admon P2,65944.92,P002,ADMINISTRACION
Imss Admon P2,15541.73,P002,ADMINISTRACION
Rcv Admon P2,26159.22,P002,ADMINISTRACION
Infonavit Admon P2,15530.3,P002,ADMINISTRACION
Atencion al Personal P2,35510.64,P002,ADMINISTRACION
Licencias de Sistemas P2,11907,P002,PRODUCCION
Papeleria P2,5321.39,P002,ADMINISTRACION
Viaticos P2,63809.88,P002,PRODUCCION
Arrendamientos P2,74013.04,P002,PRODUCCION
Telefonia e Internet P2,2920.68,P002,ADMINISTRACION
Agua de Garrafon P2,843,P002,RECURSOS HUMANOS
Gastos no Deducibles P2,50523.13,P002,ADMINISTRACION
Combustible y Gasolina P2,41710.51,P002,PRODUCCION
Tarifa Uber P2,323.05,P002,ADMINISTRACION
3% S/Nom Admon P3,83035.62,P003,ADMINISTRACION
Imss Admon P3,15731.53,P003,ADMINISTRACION
Rcv Admon P3,26283.67,P003,ADMINISTRACION
Infonavit Admon P3,15712.41,P003,ADMINISTRACION
Atencion al Personal P3,14066.8,P003,RECURSOS HUMANOS
Licencias de Sistemas P3,11907,P003,PRODUCCION
Viaticos P3,34726.27,P003,PRODUCCION
Arrendamientos P3,15000,P003,PRODUCCION
Telefonia e Internet P3,2619.82,P003,ADMINISTRACION
Combustible y Gasolina P3,218.85,P003,PRODUCCION
Gastos no deducibles P3,5789.54,P003,ADMINISTRACION
Articulos de Limpieza P3,180.55,P003,LIMPIEZA
3% S/Nom Admon P4,15105.47,P004,ADMINISTRACION
Licencias de Sistemas P4,11907,P004,PRODUCCION
Gastos no Deducibles P4,2007.37,P004,ADMINISTRACION
Imss Admon P5,7365.27,P005,ADMINISTRACION
Rcv Admon P5,11848.69,P005,ADMINISTRACION
Infonavit Admon P5,7212.52,P005,ADMINISTRACION
3% S/nom Admon P5,2698,P005,ADMINISTRACION
Atencion al Personal P5,5250.16,P005,RECURSOS HUMANOS
Viaticos P5,3234.49,P005,PRODUCCION
Telefonia e Internet P5,2275.86,P005,ADMINISTRACION
Combustibles y Gasolina P5,12073.36,P005,PRODUCCION
Renta de Baños P5,2800,P005,PRODUCCION
Gastos No Deducibles P5,7581.97,P005,ADMINISTRACION
3% s/nom Vtas P1,1406,P001,COMERCIAL
Publicidad P1,14127,P001,COMERCIAL
RENTA TERRENO LAVADO DE OLLAS P1,4000,P001,PRODUCCION
TORNILLOS P1,33.23,P001,MANTENIMIENTO
REP DE CJA DE MARIO PEREZ P5,4580,P005,PRODUCCION
PRESENTE CUMPLE KAREN RODAS TIJUANA,805,GEN,RECURSOS HUMANOS
DADIVA A GUARDIA NACIONAL NOV P1,5000,BJ,PRODUCCION
BOMBEO MOL  (ADRIAN T) P1,3500,P001,PRODUCCION
DIESEL TRASLADO DE CRS TIJUANA,5000,BJ,PRODUCCION
DIESEL TRASLADO DE CRS TIJUANA,5000,BJ,PRODUCCION
GASOLINA EMILIANO VTAS P1,1531.97,P001,COMERCIAL
ARENA LAVADA DE P5,21600,P005,PRODUCCION
PAGO ELECTRICIDAD P2,2236,P002,PRODUCCION
DIESEL TRASLADO DE CRS TIJUANA,5000,BJ,PRODUCCION
DIESEL TRASLADO DE CRS TIJUANA,5000,BJ,PRODUCCION
DADIVA A FUNCIONARIOS DEL MUNICIPIO DE SILAO,1500,P001,PRODUCCION
GASOLINA EMILIANO VTAS P1,1200,P001,COMERCIAL
GASTOS POSADA TIJUANA,34000,TJ,RECURSOS HUMANOS
TRASLADO DE RETRO-LANTANA,5000,P001,PRODUCCION
GASTOS LEGALES LIC LANTANA,5000,P001,ADMINISTRACION
42 VIAJES DE AGUA POZO NAPOLES P1,6720,P001,PRODUCCION
TALACHA P1,350,P001,PRODUCCION
REPOSICION DE CJA KAREN RH P1,2935,P001,RECURSOS HUMANOS
REP CAJA DE BRISA RH TIJUANA,19423.75,TJ Y 3,RECURSOS HUMANOS
CANCELACION DE GASTOS VIAJE CANCELADO A DALLAS NORMA GAMINO (CITA CONDUCEF) ,5000,P001,ADMINISTRACION
MANTO PIPA P1,50,P001,MANTENIMIENTO
"BOMBEO MOL, LUIS VELAZQUEZ  (ADRIAN T) P1",14300,P001,PRODUCCION
41 VIAJES DE AGUA A 160 POZO JUAREZ ,6560,P001,PRODUCCION
DEPOSITO DE EFECTIVO PAGO FISCAL DE CASO LABORAL PASCUAL CAUDILLO (LIC Roberto Zuñiga),17400,GEN,ADMINISTRACION
BORDADOS DE PRESENTES DE FIN DE AÑO A CLIENTES P1,1200,P001,COMERCIAL
FINIQUITO DE ARTICULOS DE PUBLICIDAD APART P1,11015,P001,COMERCIAL
BOMBA ESTACIONARIA  LUIS RMZ VELAZQUEZ Y LEON VELAZQUEZ,16520,P001,PRODUCCION
REP CJA KAREN RH,1318,P001,RECURSOS HUMANOS
ARENA LAVADA DE P5,17200,P005,PRODUCCION
REP CAJA DE MARIO PEREZ P5,7788,P005,PRODUCCION
COMPLEMENTO DE GASTOS FIESTA DE FIN DE AÑO,15841.41,GEN,RECURSOS HUMANOS
VIATICO A SAN LUIS P5 HECTOR MORALES,1000,BJ,PRODUCCION
3 LITROS DE DESENGRASANTE P1,150,P001,MANTENIMIENTO
DESENGRASANTE P1,75,P001,MANTENIMIENTO
TALACHA P1,1000,P001,PRODUCCION
COMIDA AUTORIZADA P1 HECTOR MORALES,1300,P001,PRODUCCION
PAGO DE TUBERIA DE P2 TJ,3000,P002,PRODUCCION
COMPRA DE ADITIVOS DE CHINA ALEX DIAZ,5713.24,GEN,CALIDAD
GASOLINA 2 SEMANAS EMILIANO VTAS P1,2400,P001,COMERCIAL
COMIDA CONTA RAFA,370,GEN,GENERAL
REP DE CJA KAREN RH P1,1335,P001,RECURSOS HUMANOS
REPOSICION DE CJA DE ENRIQUE FELIX,5925.85,P001,ADMINISTRACION
TALACHA P1,180,P001,ADMINISTRACION
REP CJA KAREN RH,102,P001,RECURSOS HUMANOS
RENTA DE DEPTO ALEX DIAZ Y RENTA DE CUARTO HECTOR MORALES,24300,GEN,GENERAL
REP CJA DE BRISA RANGEL RH TJ,6026.24,TJ Y 3,RECURSOS HUMANOS
MULTA DE PIPA POR PLACA,300,P001,PRODUCCION
RESCATE DE 2 LLANTA  CR28 PUNTA DEL ESTE,2000,P001,PRODUCCION
RENTA DE TERRENO P4 LA PITAHAYA,15000,P004P,PRODUCCION
